"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 29 11:57:34 IST 2023","Thu Jun 29 11:57:42 IST 2023","7947","","Admin Confirms Booking and User Verifys Booking status","","","","Logout as Admin",""
"passed","Thu Jun 29 11:57:15 IST 2023","Thu Jun 29 11:57:29 IST 2023","13599","","Admin Confirms Booking and User Verifys Booking status","","","","Launch the application",""
"passed","Thu Jun 29 13:20:28 IST 2023","Thu Jun 29 13:20:29 IST 2023","744","","Admin Confirms Booking and User Verifys Booking status","","","","Verify booking Status should be Confirmed",""
"passed","Thu Jun 29 11:57:29 IST 2023","Thu Jun 29 11:57:31 IST 2023","2788","","Admin Confirms Booking and User Verifys Booking status","","","","Login as Admin",""
"passed","Thu Jun 29 11:57:54 IST 2023","Thu Jun 29 11:57:54 IST 2023","339","","Admin Confirms Booking and User Verifys Booking status","","","","Verify booking Status should be Confirmed",""
"broken","Thu Jun 29 17:41:53 IST 2023","Thu Jun 29 17:42:03 IST 2023","10213","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Verify booking Status should be Confirmed",""
"broken","Thu Jun 29 17:41:32 IST 2023","Thu Jun 29 17:41:42 IST 2023","10308","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Logout as Admin",""
"passed","Thu Jun 29 11:57:31 IST 2023","Thu Jun 29 11:57:34 IST 2023","2937","","Admin Confirms Booking and User Verifys Booking status","","","","Confirm Booking",""
"passed","Thu Jun 29 17:42:03 IST 2023","Thu Jun 29 17:42:03 IST 2023","2","","xxx","","","","yyy",""
"passed","Thu Jun 29 13:20:14 IST 2023","Thu Jun 29 13:20:28 IST 2023","13682","","Admin Confirms Booking and User Verifys Booking status","","","","Login as User Naveen@gmail.com",""
"broken","Thu Jun 29 17:41:42 IST 2023","Thu Jun 29 17:41:53 IST 2023","10131","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Login as User Naveen@gmail.com",""
"failed","Thu Jun 29 17:41:11 IST 2023","Thu Jun 29 17:41:22 IST 2023","10782","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Login as Admin",""
"passed","Thu Jun 29 11:57:42 IST 2023","Thu Jun 29 11:57:54 IST 2023","11260","","Admin Confirms Booking and User Verifys Booking status","","","","Login as User Naveen@gmail.com",""
"broken","Thu Jun 29 17:41:09 IST 2023","Thu Jun 29 17:41:11 IST 2023","2367","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Launch the application",""
"passed","Thu Jun 29 13:19:44 IST 2023","Thu Jun 29 13:20:09 IST 2023","24800","","Admin Confirms Booking and User Verifys Booking status","","","","Launch the application",""
"passed","Thu Jun 29 13:20:09 IST 2023","Thu Jun 29 13:20:12 IST 2023","2682","","Admin Confirms Booking and User Verifys Booking status","","","","Login as Admin",""
"broken","Thu Jun 29 17:41:22 IST 2023","Thu Jun 29 17:41:32 IST 2023","10134","","Admin Confirms Booking and User Verifys Booking status: TestCase 1","","","","Confirm Booking",""
"passed","Thu Jun 29 17:28:44 IST 2023","Thu Jun 29 17:28:44 IST 2023","2","","","","","","",""
"passed","Thu Jun 29 13:20:13 IST 2023","Thu Jun 29 13:20:14 IST 2023","1447","","Admin Confirms Booking and User Verifys Booking status","","","","Logout as Admin",""
"passed","Thu Jun 29 13:20:12 IST 2023","Thu Jun 29 13:20:13 IST 2023","1336","","Admin Confirms Booking and User Verifys Booking status","","","","Confirm Booking",""
